Woche, Durchschnitt
K23,24226.8
K22,24132.1428571429
K21,23956.4285714286
K20,23718.1428571429
K19,23242.2857142857
K18,22454.1428571429
K17,21708
K16,20962.8571428571
K15,19758.4285714286
K14,18669.2857142857
K13,17939.2857142857
K12,17158.8571428571
K11,16499.7142857143
K10,16064
K9,15753.7142857143
K8,15472.4285714286
K7,15249.8571428571
K6,15001.7142857143
K5,14687
K4,14202.5714285714
K3,13529.1428571429
K2,12611.8571428571
K1,11386.4285714286
