,Temp_DHT,hum_DHT,Pressure,Gas,Woche
0,8.36168224299065,41.76822429906542,984.6882242990661,7229.697768551401,2019.1
1,7.273084112149532,62.67158878504673,970.4518306542057,1549.5914087289718,2019.52
2,11.238006230529598,40.797507788162,980.9987848909652,3557.749091651092,2020.1
3,7.665981308411218,63.87981308411215,976.7669163738319,2469.0545778504675,2020.2
4,11.905755598659846,41.305847293246345,974.7008289153588,6105.475565645035,2020.3
5,7.762803738317758,47.42915887850466,988.8988595327104,7230.742807271029,2020.4
6,9.827266795979543,51.98444189737258,960.8925289992944,6852.598891373478,2020.5
7,6.163551401869161,63.101121495327114,976.242876093458,4335.012953439252,2020.6
8,6.733831775700938,51.82990654205607,962.5811770841124,15482.464491607481,2020.7
9,8.820934579439257,51.133271028037385,973.6971773457943,13126.69760302804,2020.8
10,10.647663551401862,50.194859813084115,964.2739735514017,16094.32951794392,2020.9
11,11.723893493211072,44.301635514018706,956.3707398867042,14764.00806138181,2020.10
12,10.691775700934581,57.044485981308405,965.7346926542057,12011.436117981311,2020.11
13,18.8622429906542,41.57214953271029,979.4306388598129,8965.820352130842,2020.12
14,14.59786457414918,18.17540821724564,983.2207307104563,59353.847094527766,2020.13
15,13.077383177570088,29.41233644859813,975.2613840186916,46442.367610971974,2020.14
16,24.50436137071651,25.456386292834893,974.3172587538943,10884.547853271026,2020.16
17,23.952710280373825,19.895327102803737,974.9000167289718,32427.213264635517,2020.17
18,24.077582554517136,31.319238095238102,961.0709363542501,17157.093956767603,2020.18
19,20.763738317757014,34.48766355140187,974.4926151775703,23310.377319906544,2020.19
20,17.668785046728974,37.92149532710279,968.728936373832,27088.574423252336,2020.20
21,25.54205607476636,32.24112149532711,976.9424115327099,13947.392501383176,2020.21
22,22.04559689649092,38.65254981484747,984.9198293607832,8591.725185989773,2020.22
23,26.024655263621945,35.598515253041796,963.8947441698114,8963.541250268736,2020.23
24,22.414018691588787,37.401401869158896,969.9118250467293,17149.219908925235,2020.24
25,24.90112149532711,38.20336448598132,972.6625609158881,9175.444467962621,2020.29
26,27.576012461059193,32.873208722741424,975.0046691900308,16253.345234922112,2020.30
27,26.359439252336443,42.11439252336448,973.4475883364483,415.1792700560746,2020.32
28,31.566457414918,39.665060835831426,972.3554146898256,233.191845319344,2020.33
29,31.50317757009346,35.541682242990646,967.1022448598129,258.0925790280373,2020.34
30,24.42852852852855,41.84448022789145,967.85841572907,244.1205445601444,2020.35
31,20.590467289719623,52.26598130841122,974.2768414018691,312.30818684112154,2020.36
32,24.509158878504678,36.19532710280374,977.5734028971962,345.2500929906542,2020.37
33,24.41730948957584,41.36063443565779,979.982802199856,336.08071566930266,2020.38
34,22.382242990654206,47.99289719626168,963.8008222616825,315.21942048598135,2020.39
35,17.546168224299063,51.04841121495326,965.6977946915888,347.5965974579438,2020.40
36,15.251962616822428,59.08953271028038,966.9500010467293,306.1761126728972,2020.41
37,10.504299065420556,71.77439252336451,969.0264856635512,259.5965042616823,2020.42
38,14.994392523364484,55.194953271028034,971.2655512336444,306.99530785046727,2020.43
39,13.667102803738315,59.764672897196256,966.7582986542056,292.90181293457937,2020.44
40,17.35943925233645,46.61252336448598,982.332615457944,301.4181672897194,2020.45
41,15.356415094339619,45.9817492505731,978.3838156289894,301.9739842987127,2020.46
42,12.4170093457944,56.970093457943925,977.5591034766354,312.3327285794392,2020.47
43,12.086355140186914,46.7758878504673,977.3181311775703,331.49499093457933,2020.48
44,3.8671909716099466,52.29003526714864,966.138888467466,525.0050710084641,2020.49
45,7.418504672897201,58.543364485981314,959.4339445607477,327.5367291401869,2020.50
46,11.695441721036856,47.63462175983072,973.1530336020104,323.5924068277198,2020.51
47,8.819626168224296,56.39439252336448,967.484891931464,388.88769485981305,2020.52
48,2.551940364931021,69.97371161548733,965.9842500709834,314.8467549114375,2021.1
49,2.438010932816081,64.53783459707282,1009.9907898492328,26136.52135403227,2021.2
50,8.599439252336449,49.138317757009354,960.4255713084109,348.3770098504673,2021.3
51,4.558682331158528,63.1547103685417,957.0334328967554,339.48978247244764,2021.4
52,7.845240698289548,58.58137718215482,960.5779987686481,328.97682598659844,2021.5
53,-3.26803738317757,50.32523364485981,967.3946942242993,781.2234384672901,2021.6
54,8.219314641744546,43.143925233644865,976.826635576324,407.77214940809984,2021.7
55,21.03714953271028,38.363551401869174,984.6713785981308,170.74369128504674,2021.8
56,15.53607476635514,37.259813084112146,981.1539637196263,275.67869140186906,2021.9
57,11.01782930700053,39.630634808675715,968.032116681714,355.4812774896843,2021.10
58,9.45597557749956,49.33724651736905,973.5561987766707,298.9964488381678,2021.11
59,16.992149532710286,38.167102803738324,975.1230843925232,216.60347613084113,2021.12
60,21.67401869158879,32.89327102803738,978.7189338130843,217.40336379439256,2021.13
61,12.319252336448605,37.30560747663551,965.5861690280373,387.921176728972,2021.14
62,10.2388785046729,47.29850467289722,979.1004288598126,352.035327140187,2021.15
63,19.452570093457943,36.11985981308412,971.6862414252333,195.0780835514019,2021.16
