date,date,Temp_DHT,hum_DHT,Pressure,Gas
2019,1,8.36168224299065,41.76822429906542,984.688224299066,7229.697768551401
2019,52,7.273084112149533,62.67158878504673,970.4518306542057,1549.5914087289718
2020,1,11.238006230529598,40.797507788162,980.9987848909653,3557.749091651092
2020,2,7.665981308411217,63.87981308411215,976.7669163738319,2469.0545778504675
2020,3,11.905755598659848,41.305847293246345,974.7008289153588,6105.475565645035
2020,4,7.762803738317757,47.429158878504666,988.8988595327104,7230.742807271029
2020,5,9.827266795979545,51.984441897372584,960.8925289992943,6852.598891373478
2020,6,6.163551401869161,63.10112149532711,976.2428760934579,4335.012953439252
2020,7,6.733831775700937,51.82990654205607,962.5811770841123,15482.46449160748
2020,8,8.820934579439257,51.13327102803739,973.6971773457944,13126.69760302804
2020,9,10.647663551401864,50.19485981308412,964.2739735514017,16094.32951794392
2020,10,11.723893493211072,44.3016355140187,956.3707398867042,14764.00806138181
2020,11,10.69177570093458,57.0444859813084,965.7346926542057,12011.436117981311
2020,12,18.862242990654202,41.572149532710284,979.430638859813,8965.820352130842
2020,13,14.59786457414918,18.17540821724564,983.2207307104563,59353.84709452776
2020,14,13.077383177570088,29.412336448598126,975.2613840186916,46442.36761097197
2020,16,24.50436137071651,25.456386292834893,974.3172587538944,10884.547853271026
2020,17,23.95271028037383,19.89532710280374,974.9000167289718,32427.213264635513
2020,18,24.077582554517136,31.3192380952381,961.0709363542501,17157.093956767603
2020,19,20.76373831775701,34.48766355140187,974.4926151775704,23310.377319906544
2020,20,17.668785046728974,37.92149532710279,968.7289363738321,27088.574423252336
2020,21,25.542056074766357,32.24112149532711,976.9424115327101,13947.392501383176
2020,22,22.045596896490917,38.65254981484747,984.9198293607831,8591.725185989773
2020,23,26.024655263621945,35.598515253041796,963.8947441698114,8963.541250268736
2020,24,22.414018691588787,37.40140186915889,969.9118250467293,17149.219908925235
2020,29,24.901121495327107,38.20336448598132,972.6625609158879,9175.44446796262
2020,30,27.57601246105919,32.87320872274143,975.0046691900308,16253.345234922112
2020,32,26.359439252336443,42.11439252336448,973.4475883364485,415.17927005607464
2020,33,31.566457414918,39.665060835831426,972.3554146898256,233.19184531934397
2020,34,31.50317757009346,35.541682242990646,967.102244859813,258.09257902803733
2020,35,24.428528528528542,41.844480227891445,967.8584157290701,244.12054456014434
2020,36,20.590467289719626,52.26598130841122,974.276841401869,312.30818684112154
2020,37,24.509158878504675,36.19532710280374,977.5734028971962,345.25009299065425
2020,38,24.417309489575842,41.3606344356578,979.9828021998559,336.08071566930266
2020,39,22.382242990654206,47.99289719626168,963.8008222616825,315.2194204859813
2020,40,17.546168224299066,51.04841121495326,965.6977946915888,347.59659745794386
2020,41,15.251962616822428,59.08953271028038,966.9500010467293,306.1761126728972
2020,42,10.504299065420557,71.77439252336451,969.0264856635513,259.5965042616823
2020,43,14.994392523364485,55.194953271028034,971.2655512336445,306.99530785046727
2020,44,13.667102803738317,59.76467289719625,966.7582986542056,292.9018129345794
2020,45,17.35943925233645,46.61252336448598,982.3326154579441,301.41816728971946
2020,46,15.356415094339619,45.981749250573095,978.3838156289894,301.9739842987127
2020,47,12.417009345794398,56.97009345794392,977.5591034766354,312.3327285794392
2020,48,12.086355140186916,46.7758878504673,977.3181311775703,331.4949909345793
2020,49,3.867190971609946,52.29003526714864,966.1388884674659,525.0050710084641
2020,50,7.4185046728972,58.543364485981314,959.4339445607478,327.5367291401869
2020,51,11.695441721036854,47.63462175983072,973.1530336020105,323.59240682771986
2020,52,8.819626168224298,56.39439252336448,967.484891931464,388.88769485981305
2021,1,2.551940364931021,69.97371161548733,965.9842500709834,314.8467549114375
2021,2,2.438010932816081,64.53783459707282,1009.9907898492327,26136.52135403227
2021,3,8.599439252336449,49.13831775700935,960.425571308411,348.3770098504673
2021,4,4.558682331158529,63.1547103685417,957.0334328967554,339.4897824724476
2021,5,7.845240698289548,58.581377182154824,960.577998768648,328.97682598659844
2021,6,-3.26803738317757,50.32523364485981,967.3946942242992,781.22343846729
2021,7,8.219314641744546,43.143925233644865,976.826635576324,407.7721494080998
2021,8,21.03714953271028,38.36355140186917,984.6713785981308,170.74369128504674
2021,9,15.536074766355139,37.259813084112146,981.1539637196263,275.6786914018691
2021,10,11.01782930700053,39.63063480867572,968.0321166817141,355.4812774896843
2021,11,9.45597557749956,49.33724651736905,973.5561987766706,298.9964488381678
2021,12,16.992149532710283,38.16710280373832,975.1230843925232,216.60347613084113
2021,13,21.67401869158879,32.89327102803738,978.7189338130842,217.40336379439253
2021,14,12.319252336448603,37.30560747663551,965.5861690280371,387.92117672897194
2021,15,10.2388785046729,47.29850467289721,979.1004288598126,352.035327140187
2021,16,19.452570093457943,36.11985981308412,971.6862414252334,195.0780835514019
