date,Unnamed: 0,Unnamed: 0.1,Temp_DHT,hum_DHT,Pressure,Gas
2020-01-07,22811.0,22811.0,4.2887850467289645,69.9803738317757,980.814204766355,601.6358845794392
2020-01-08,24094.0,24094.0,7.108411214953278,60.882242990654206,976.3055117757017,2605.160375327104
2020-01-09,25377.0,25377.0,10.619626168224308,73.10560747663551,972.8805618691587,660.2095301869158
2020-01-10,26660.0,26660.0,10.708411214953271,56.11121495327102,971.4923399999998,5648.031286261682
2020-01-13,30512.0,30512.0,8.600934579439258,51.56728971962616,975.9784138317758,5275.295040560749
2020-01-14,31796.0,31796.0,10.276635514018691,42.559813084112136,968.8848606542052,8030.889169626164
2020-01-15,33079.5,33079.5,13.279245283018867,27.628301886792446,971.8627397169814,8414.454940094342
2020-01-16,34348.0,34348.0,17.80934579439252,38.15046728971963,983.3924294392523,3704.123188504673
2020-01-17,35631.0,35631.0,9.562616822429904,46.62336448598131,973.3857009345795,5102.61548943925
2020-01-20,39481.0,39481.0,7.379439252336451,54.347663551401844,999.9367299065426,6383.294954018693
2020-01-21,40761.0,40761.0,11.772897196261686,33.004672897196265,994.6017730841127,12826.900034766353
2020-01-22,42045.0,42045.0,3.014953271028043,64.28130841121492,986.3570100000001,1069.6604708411214
2020-01-23,43322.0,43322.0,4.322429906542058,54.504672897196265,987.0725249532705,7570.112126728973
2020-01-24,44606.0,44606.0,12.324299065420552,31.007476635514017,976.5262597196264,8303.74645
2020-01-27,48234.0,48234.0,14.014018691588786,42.451401869158886,967.3589728971962,6966.794004299064
2020-01-28,49515.0,49515.0,8.411214953271031,55.85233644859812,949.1809311214951,5494.340003551399
2020-01-29,50798.0,50798.0,5.393457943925228,53.638317757009354,959.4178510280368,9710.990992336448
2020-01-30,52078.0,52078.0,7.229906542056076,55.303738317756974,965.4818653271027,7947.57831186916
2020-01-31,53361.5,53361.5,14.08773584905661,52.67641509433962,963.0230246226411,4143.291144811321
2020-02-03,57211.0,57211.0,10.17102803738318,64.82149532710282,965.6690604672893,2835.433466261682
2020-02-04,58491.0,58491.0,5.234579439252339,63.8429906542056,962.7151374766355,5147.962604766355
2020-02-05,59775.0,59775.0,4.891588785046727,59.440186915887864,985.2743899065415,7002.096919158878
2020-02-06,61057.0,61057.0,4.250467289719628,61.41869158878507,983.6244892523368,4835.888019626166
2020-02-07,62340.0,62340.0,6.270093457943927,65.9822429906542,983.9313033644859,1853.6837573831772
2020-02-10,66189.0,66189.0,7.358878504672892,60.071962616822425,951.458318878505,5876.005330841124
2020-02-11,67472.0,67472.0,6.926168224299067,42.33831775700934,956.7285956074768,27345.619925607487
2020-02-12,68756.0,68756.0,5.1523364485981356,46.58504672897197,965.6565401869158,22822.380037943916
2020-02-13,70040.0,70040.0,7.061682242990651,42.650467289719614,966.889719345794,19364.545852803738
2020-02-14,71324.0,71324.0,7.170093457943938,67.50373831775703,972.1727114018693,2003.7713108411224
2020-02-17,75176.0,75176.0,11.082242990654214,43.06355140186916,970.6926162616819,16372.753769252342
2020-02-18,76459.0,76459.0,12.49158878504673,39.224299065420546,976.0485990654213,21550.97967439253
2020-02-19,77743.0,77743.0,5.272897196261684,66.28224299065421,968.5517732710277,3354.0896412149555
2020-02-20,79027.0,79027.0,7.949532710280377,58.90747663551402,974.4128963551402,6481.978954018692
2020-02-21,80311.0,80311.0,7.308411214953274,48.18878504672901,978.780001775701,17873.68597626168
2020-02-24,84163.0,84163.0,10.353271028037383,40.46448598130842,973.9506553271024,27936.87317411214
