Woche,Anzahl,Sorte,Name
2020.03,696,Studenten,Vegetarisch
2020.04,694,Studenten,Vegetarisch
2020.05,708,Studenten,Vegetarisch
2020.06,751,Studenten,Vegetarisch
2020.07,662,Studenten,Vegetarisch
2020.08,691,Studenten,Vegetarisch
2020.09,571,Studenten,Vegetarisch
2020.10,595,Studenten,Vegetarisch
2020.11,641,Studenten,Vegetarisch
2020.12,193,Studenten,Vegetarisch
2020.28,30,Studenten,Vegetarisch
2020.29,424,Studenten,Vegetarisch
2020.30,448,Studenten,Vegetarisch
2020.31,491,Studenten,Vegetarisch
2020.32,448,Studenten,Vegetarisch
2020.33,541,Studenten,Vegetarisch
2020.34,387,Studenten,Vegetarisch
2020.35,518,Studenten,Vegetarisch
2020.36,394,Studenten,Vegetarisch
2020.37,373,Studenten,Vegetarisch
2020.38,421,Studenten,Vegetarisch
2020.39,434,Studenten,Vegetarisch
2020.40,460,Studenten,Vegetarisch
2020.41,451,Studenten,Vegetarisch
2020.42,398,Studenten,Vegetarisch
2020.43,548,Studenten,Vegetarisch
2020.44,631,Studenten,Vegetarisch
2020.45,558,Studenten,Vegetarisch
2020.46,750,Studenten,Vegetarisch
2020.47,398,Studenten,Vegetarisch
2020.48,566,Studenten,Vegetarisch
2020.49,470,Studenten,Vegetarisch
2020.50,459,Studenten,Vegetarisch
2020.51,231,Studenten,Vegetarisch
2020.52,14,Studenten,Vegetarisch
2021.01,74,Studenten,Vegetarisch
2021.02,199,Studenten,Vegetarisch
2021.03,193,Studenten,Vegetarisch
2021.04,180,Studenten,Vegetarisch
2021.05,237,Studenten,Vegetarisch
2021.06,191,Studenten,Vegetarisch
2021.07,298,Studenten,Vegetarisch
2021.08,230,Studenten,Vegetarisch
2021.09,305,Studenten,Vegetarisch
2021.10,263,Studenten,Vegetarisch
2021.11,184,Studenten,Vegetarisch
2021.12,289,Studenten,Vegetarisch
2021.13,164,Studenten,Vegetarisch
2021.14,175,Studenten,Vegetarisch
2021.15,300,Studenten,Vegetarisch
2021.16,308,Studenten,Vegetarisch
2021.17,414,Studenten,Vegetarisch
